index,title,certificate,genre,runtime,rating
2856,F9,UA,"Action, Crime, Thriller",143 min,5.2
2857,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
2858,No Time to Die,UA,"Action, Adventure, Thriller",163 min,7.3
2859,The French Dispatch,A,"Comedy, Drama, Romance",107 min,7.1
2860,Stillwater,R,"Crime, Drama, Thriller",139 min,6.6
2861,Free Guy,UA,"Action, Adventure, Comedy",115 min,7.1
2862,Sing 2,U,"Animation, Adventure, Comedy",110 min,7.4
2863,The Little Things,A,"Crime, Drama, Mystery",128 min,6.3
2864,The Fallout,A,Drama,96 min,7
2865,The Black Phone,A,"Horror, Thriller",103 min,6.9
2866,Don't Look Up,18,"Comedy, Drama, Sci-Fi",138 min,7.2
2867,Wrath of Man,16,"Action, Crime, Thriller",119 min,7.1
2868,The Tomorrow War,13,"Action, Adventure, Drama",138 min,6.5
2869,Eternals,UA,"Action, Adventure, Fantasy",156 min,6.3
2870,The King's Man,15+,"Action, Adventure, Thriller",131 min,6.3
2871,Encanto,U,"Animation, Comedy, Family",102 min,7.2
2872,The Matrix Resurrections,A,"Action, Sci-Fi",148 min,5.7
2873,Old,UA,"Drama, Horror, Mystery",108 min,5.8
2874,Zack Snyder's Justice League,18,"Action, Adventure, Fantasy",242 min,8
2875,Malignant,A,"Crime, Horror, Mystery",111 min,6.2
2876,Last Night in Soho,A,"Drama, Horror, Mystery",116 min,7
2877,Black Widow,UA,"Action, Adventure, Sci-Fi",134 min,6.7
2878,Godzilla vs. Kong,UA,"Action, Sci-Fi, Thriller",113 min,6.3
2879,Ghostbusters: Afterlife,UA,"Adventure, Comedy, Fantasy",124 min,7.1
2880,Mortal Kombat,A,"Action, Adventure, Fantasy",110 min,6
2881,The Voyeurs,A,"Drama, Mystery, Thriller",116 min,6
2882,Shang-Chi and the Legend of the Ten Rings,UA,"Action, Adventure, Fantasy",132 min,7.4
2883,Licorice Pizza,A,"Comedy, Drama, Romance",133 min,7.2
2884,West Side Story,UA,"Crime, Drama, Musical",156 min,7.2
2885,The Guilty,16,"Crime, Drama, Thriller",90 min,6.3
2886,Pleasure,R,Drama,109 min,6.4
2887,The Last Duel,A,"Action, Drama, History",152 min,7.4
2888,House of Gucci,A,"Biography, Crime, Drama",158 min,6.6
2889,Infinite,PG-13,"Action, Sci-Fi, Thriller",106 min,5.4
2890,The Power of the Dog,16,"Drama, Western",126 min,6.8
2891,Red Notice,13,"Action, Comedy, Thriller",118 min,6.3
2892,The Green Knight,UA,"Adventure, Drama, Fantasy",130 min,6.6
2893,Pig,R,"Drama, Mystery",92 min,6.9
2894,Army of the Dead,18,"Action, Crime, Drama",148 min,5.7
2895,Cruella,Not Rated,"Adventure, Comedy, Crime",134 min,7.3
2896,Nightmare Alley,A,"Crime, Drama, Thriller",150 min,7
2897,Army of Thieves,16,"Action, Comedy, Crime",127 min,6.4
2898,Silent Hours,None,"Crime, Thriller",156 min,5.2
2899,Boiling Point,R,"Drama, Thriller",92 min,7.5
2900,The Road Dance,None,Drama,116 min,7
2901,Dune: Part One,UA,"Action, Adventure, Drama",155 min,8
2902,Nobody,A,"Action, Crime, Drama",92 min,7.4
2903,Girl in the Basement,None,"Crime, Thriller",88 min,6.3
2904,Spider-Man: No Way Home,UA,"Action, Adventure, Fantasy",148 min,8.2
2905,CODA,A,"Comedy, Drama, Music",111 min,8
2906,F9,UA,"Action, Crime, Thriller",143 min,5.2
2907,The Suicide Squad,A,"Action, Adventure, Comedy",132 min,7.2
